02:19:58 s0 canary       ORG-D   ratio 1.000 cont +0.000 adj 0.0 non 0.0 H 0.947 inv=True
02:20:01 s0 control      ORG-B   ratio 1.000 cont +0.000 adj 0.0 non 0.0 H 0.463 inv=True
02:20:02 s0 control      ORG-B'  ratio 1.000 cont +0.000 adj 0.0 non 0.0 H 0.602 inv=True
02:20:05 s0 soft_self    ORG-B   ratio 1.250 cont +0.000 adj 0.0 non 0.0 H 0.662 inv=False
02:20:07 s0 soft_self    ORG-B'  ratio 1.250 cont +0.000 adj 0.0 non 0.0 H 0.685 inv=False
02:20:08 s0 oracle_move  ORG-B   ratio 0.500 cont +0.000 adj 0.0 non 0.0 H 0.974 inv=False
02:20:11 s0 oracle_move  ORG-B'  ratio 0.500 cont +0.000 adj 0.0 non 0.0 H 0.974 inv=False
02:20:13 s0 random_move  ORG-B   ratio 0.750 cont +0.000 adj 0.0 non 0.0 H 1.072 inv=False
02:20:14 s0 random_move  ORG-B'  ratio 1.250 cont +0.000 adj 0.0 non 0.0 H 1.043 inv=False
02:20:14 saved /marimo/repo/experiments/v2/NAR02_cotraining/results/a_smoke/20260816T021957Z_391fa23ca03c.json
