02:20:17 s0 canary       ORG-D   ratio 1.000 cont +0.000 adj 0.0 non 0.0 H 0.947 inv=True
02:20:20 s0 control      ORG-B   ratio 1.000 cont +0.000 adj 0.0 non 0.0 H 0.463 inv=True
02:20:23 s0 control      ORG-B'  ratio 1.000 cont +0.000 adj 0.0 non 0.0 H 0.602 inv=True
02:20:26 s0 soft_self    ORG-B   ratio 1.250 cont +0.000 adj 0.0 non 0.0 H 0.662 inv=False
02:20:28 s0 soft_self    ORG-B'  ratio 1.250 cont +0.000 adj 0.0 non 0.0 H 0.685 inv=False
02:20:31 s0 oracle_move  ORG-B   ratio 0.500 cont +0.000 adj 0.0 non 0.0 H 0.974 inv=False
02:20:33 s0 oracle_move  ORG-B'  ratio 0.500 cont +0.000 adj 0.0 non 0.0 H 0.974 inv=False
02:20:36 s0 random_move  ORG-B   ratio 0.750 cont +0.000 adj 0.0 non 0.0 H 1.072 inv=False
02:20:39 s0 random_move  ORG-B'  ratio 1.250 cont +0.000 adj 0.0 non 0.0 H 1.043 inv=False
02:20:39 saved /marimo/repo/experiments/v2/NAR02_cotraining/results/b_smoke/20260816T022015Z_391fa23ca03c.json
